,name,price,NFC,Color,Диагональ,RAM,Память,Емкость акк,rating,reviews,OS,Тип экрана_IPS,Тип экрана_OLED,Тип экрана_Other
2542,124,778898,1,21,6.3,8.0,512.0,3582.0,4.9,12,1,False,True,False
2543,75,359122,1,7,6.1,6.0,128.0,3279.0,4.7,13,1,False,True,False
2544,133,828274,1,2,6.9,8.0,512.0,4685.0,4.8,1,1,False,True,False
2545,92,649415,1,16,6.1,8.0,256.0,3279.0,4.8,62,1,False,True,False
2546,27,346483,1,2,6.1,4.0,256.0,3095.0,4.8,1,1,False,True,False
2547,40,322705,1,5,6.1,6.0,128.0,3279.0,5.0,10,1,False,True,False
2548,13,262563,1,21,6.1,4.0,128.0,2775.0,5.0,10,1,False,True,False
2549,127,894215,1,2,6.9,8.0,1024.0,4685.0,5.0,10,1,False,True,False
2550,109,507713,1,2,6.1,8.0,256.0,3561.0,5.0,10,1,False,True,False
2551,104,725850,1,15,6.7,8.0,512.0,4422.0,5.0,10,1,False,True,False
2552,12,197127,1,2,6.1,4.0,64.0,3110.0,4.9,1,1,True,False,False
2553,124,752818,1,14,6.3,8.0,512.0,3582.0,5.0,10,1,False,True,False
2554,27,360062,1,21,6.1,4.0,256.0,3095.0,4.8,1,1,False,True,False
2555,78,535000,1,5,6.1,6.0,256.0,3279.0,4.8,20,1,False,True,False
2556,109,512234,1,20,6.1,8.0,256.0,3561.0,4.8,23,1,False,True,False
2557,92,643244,1,2,6.1,8.0,256.0,3279.0,0.0,0,1,False,True,False
2558,59,659653,1,20,6.1,6.0,512.0,3200.0,0.0,0,1,False,True,False
2559,86,548408,1,2,6.1,8.0,128.0,3279.0,5.0,10,1,False,True,False
2560,104,734920,1,21,6.7,8.0,512.0,4422.0,0.0,0,1,False,True,False
2561,98,830189,1,21,6.7,8.0,1024.0,4422.0,5.0,10,1,False,True,False
2562,124,747955,1,2,6.3,8.0,512.0,3582.0,0.0,0,1,False,True,False
2563,40,328789,1,17,6.1,6.0,128.0,3279.0,5.0,10,1,False,True,False
2564,123,696651,1,21,6.3,8.0,256.0,3582.0,0.0,0,1,False,True,False
2565,53,499596,1,21,6.1,6.0,128.0,3200.0,5.0,10,1,False,True,False
2566,53,507960,1,8,6.1,6.0,128.0,3200.0,5.0,10,1,False,True,False
2567,109,539838,1,13,6.1,8.0,256.0,3561.0,0.0,0,1,False,True,False
2568,78,535000,1,13,6.1,6.0,256.0,3279.0,4.9,10,1,False,True,False
2569,120,830894,1,8,6.3,8.0,1024.0,3582.0,4.6,2,1,False,True,False
2570,74,384999,1,21,6.1,6.0,128.0,3279.0,4.9,3,1,False,True,False
2571,9,600000,1,21,6.1,4.0,128.0,3110.0,4.8,5,1,True,False,False
2572,109,508680,1,7,6.1,8.0,256.0,3561.0,5.0,1,1,False,True,False
2573,103,693787,1,16,6.7,8.0,256.0,4422.0,4.8,2,1,False,True,False
2574,120,830353,1,21,6.3,8.0,1024.0,3582.0,4.8,1,1,False,True,False
2575,27,362445,1,16,6.1,4.0,256.0,3095.0,4.8,31,1,False,True,False
2576,47,375501,1,21,6.7,6.0,128.0,4325.0,4.5,10,1,False,True,False
2577,103,687847,1,21,6.7,8.0,256.0,4422.0,4.8,20,1,False,True,False
2578,103,670000,1,15,6.7,8.0,256.0,4422.0,4.8,4,1,False,True,False
2579,104,722715,1,16,6.7,8.0,512.0,4422.0,5.0,10,1,False,True,False
2580,13,269490,1,2,6.1,4.0,128.0,2775.0,4.9,2,1,False,True,False
2581,27,358299,1,13,6.1,4.0,256.0,3095.0,4.9,5,1,False,True,False
2582,27,357009,1,7,6.1,4.0,256.0,3095.0,0.0,0,1,False,True,False
2583,104,733855,1,2,6.7,8.0,512.0,4422.0,5.0,10,1,False,True,False
2584,98,837490,1,15,6.7,8.0,1024.0,4422.0,0.0,0,1,False,True,False
2585,120,826767,1,2,6.3,8.0,1024.0,3582.0,0.0,0,1,False,True,False
2586,43,431855,1,21,6.1,6.0,256.0,3279.0,5.0,10,1,False,True,False
2587,120,827194,1,14,6.3,8.0,1024.0,3582.0,5.0,10,1,False,True,False
2588,98,831963,1,16,6.7,8.0,1024.0,4422.0,0.0,0,1,False,True,False
2589,81,431391,1,21,6.7,6.0,128.0,3279.0,0.0,0,1,False,True,False
2590,62,678099,1,21,6.7,6.0,128.0,4300.0,0.0,0,1,False,True,False
2591,57,550000,1,21,6.1,6.0,256.0,3200.0,4.8,5,1,False,True,False
2592,78,524998,1,7,6.1,6.0,256.0,3279.0,4.9,10,1,False,True,False
2593,76,379000,1,13,6.1,6.0,128.0,3279.0,4.8,10,1,False,True,False
2594,59,539668,1,8,6.1,6.0,512.0,3200.0,4.9,1,1,False,True,False
2595,13,264377,1,20,6.1,4.0,128.0,2815.0,4.7,10,1,False,True,False
2596,95,726785,1,2,6.1,8.0,512.0,3279.0,4.8,4,1,False,True,False
2597,132,722238,1,8,6.9,8.0,256.0,4685.0,4.8,1,1,False,True,False
2598,17,228985,1,21,6.1,4.0,64.0,2775.0,4.9,5,1,False,True,False
